Time,Time Code,Country Name,Country Code,GDP (constant 2015 US$) [NY.GDP.MKTP.KD],Gross fixed capital formation (% of GDP) [NE.GDI.FTOT.ZS],Research and development expenditure (% of GDP) [GB.XPD.RSDV.GD.ZS],Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS]
2009,YR2009,India,IND,1.41561E+12,33.95162693,0.833140016,31.4564997
2009,YR2009,China,CHN,6.8279E+12,43.81157102,1.664800048,43.27065175
2009,YR2009,South Africa,ZAF,3.0246E+11,19.49086497,0.749930024,41.16128236
2010,YR2010,Brazil,BRA,1.70315E+12,20.53467365,1.159919977,17.82014097
2010,YR2010,Russian Federation,RUS,1.25066E+12,21.62538431,1.130200028,42.57701378
2010,YR2010,India,IND,1.5359E+12,33.23001466,0.788489997,34.41028048
2010,YR2010,China,CHN,7.55411E+12,43.92930477,1.713719964,48.85669983
2010,YR2010,South Africa,ZAF,3.11654E+11,17.56163572,0.662840009,45.0882395
2011,YR2011,Brazil,BRA,1.77084E+12,20.6089642,1.139660001,18.8204357
2011,YR2011,Russian Federation,RUS,1.30444E+12,21.32165552,1.015450001,41.34281212
2011,YR2011,India,IND,1.6164E+12,34.31341623,0.755020022,42.09244013
2011,YR2011,China,CHN,8.27559E+12,43.86136146,1.780339956,48.22674911
2011,YR2011,South Africa,ZAF,3.21529E+11,17.80936918,0.66753,50.90468292
2012,YR2012,Brazil,BRA,1.80486E+12,20.71671278,1.126839995,19.28247764
2012,YR2012,Russian Federation,RUS,1.35694E+12,21.5611849,1.027660012,39.15702233
2012,YR2012,India,IND,1.7046E+12,33.43693432,0.743990004,43.03489948
2012,YR2012,China,CHN,8.92636E+12,44.24983199,1.912140012,45.32389801
2012,YR2012,South Africa,ZAF,3.29233E+11,17.93493345,0.669340014,52.20067115
2013,YR2013,Brazil,BRA,1.85909E+12,20.91192188,1.195670009,19.60620227
2013,YR2013,Russian Federation,RUS,1.38076E+12,21.94018828,1.027320027,37.64956447
2013,YR2013,India,IND,1.81345E+12,31.29580503,0.706420004,42.02272644
2013,YR2013,China,CHN,9.6196E+12,44.51876555,1.997859955,43.45653366
2013,YR2013,South Africa,ZAF,3.37416E+11,18.57871221,0.663299978,55.49782044
2014,YR2014,Brazil,BRA,1.86846E+12,19.8730289,1.269709945,18.79795522
2014,YR2014,Russian Federation,RUS,1.39092E+12,21.41718335,1.072409987,39.07671659
2014,YR2014,India,IND,1.94783E+12,30.08023705,0.701590002,38.52649691
2014,YR2014,China,CHN,1.03339E+13,43.8560937,2.022429943,41.06223756
2014,YR2014,South Africa,ZAF,3.42187E+11,18.30119874,0.709869981,56.39917037
2015,YR2015,Brazil,BRA,1.80221E+12,17.83580704,1.370929956,20.37728957
2015,YR2015,Russian Federation,RUS,1.36348E+12,20.6115488,1.100849986,39.19655181
2015,YR2015,India,IND,2.10359E+12,28.73314413,0.693099976,31.47393343
2015,YR2015,China,CHN,1.10616E+13,42.09432828,2.057009935,35.73663652
2015,YR2015,South Africa,ZAF,3.4671E+11,18.00895329,0.731469989,53.54708898
2016,YR2016,Brazil,BRA,1.74317E+12,15.52432733,1.286370039,18.08627158
2016,YR2016,Russian Federation,RUS,1.36612E+12,21.88128167,1.102380037,37.06203467
2016,YR2016,India,IND,2.27727E+12,28.18843897,0.669839978,27.28742591
2016,YR2016,China,CHN,1.18192E+13,41.55236492,2.100330114,32.80917001
2016,YR2016,South Africa,ZAF,3.49014E+11,17.44150362,0.749920011,51.88922093
2017,YR2017,Brazil,BRA,1.76623E+12,14.55898652,1.117499948,18.45603275
2017,YR2017,Russian Federation,RUS,1.39107E+12,21.98213912,1.109670043,37.56366665
2017,YR2017,India,IND,2.43202E+12,28.17781654,0.66602999,28.25469628
2017,YR2017,China,CHN,1.26403E+13,41.8611853,2.116029978,33.36290883
2017,YR2017,South Africa,ZAF,3.53055E+11,16.39880518,0.762570024,49.94719938
2018,YR2018,Brazil,BRA,1.79774E+12,15.09691196,1.167690039,22.15673688
2018,YR2018,Russian Federation,RUS,1.43012E+12,20.65448572,0.990019977,41.80039658
2018,YR2018,India,IND,2.58897E+12,29.46306814,0.66000998,31.04934687
2018,YR2018,China,CHN,1.34934E+13,42.84303114,2.140579939,33.26717275
2018,YR2018,South Africa,ZAF,3.58552E+11,15.92216748,0.687730014,51.31042505
2019,YR2019,Brazil,BRA,1.81968E+12,15.47116975,1.210960031,22.11560393
2019,YR2019,Russian Federation,RUS,1.46155E+12,20.90234042,1.03531003,39.78448002
2019,YR2019,India,IND,2.68921E+12,28.45454433,0.659420013,28.57939102
2019,YR2019,China,CHN,1.42964E+13,42.82258435,2.244630098,32.05779479
2019,YR2019,South Africa,ZAF,3.59484E+11,15.46898966,0.614300013,50.74229668
2020,YR2020,Brazil,BRA,1.76006E+12,16.56102156,1.145259976,25.43961523
2020,YR2020,Russian Federation,RUS,1.42277E+12,21.55991978,1.090989947,38.4185427
2020,YR2020,India,IND,2.5324E+12,27.25042452,0.64635998,24.3155082
2020,YR2020,China,CHN,1.46164E+13,42.48607855,2.40666008,31.69932665
2020,YR2020,South Africa,ZAF,3.38046E+11,13.80823668,0.603600025,50.22208723
2021,YR2021,Brazil,BRA,1.84786E+12,18.89618884,..,31.24987077
2021,YR2021,Russian Federation,RUS,1.50265E+12,19.67796297,..,43.46270587
2021,YR2021,India,IND,2.76159E+12,28.91392466,..,30.74360846
2021,YR2021,China,CHN,1.58513E+13,41.95125398,2.432600021,33.92117918
2021,YR2021,South Africa,ZAF,3.53945E+11,13.18371427,..,56.54604327
2022,YR2022,Brazil,BRA,1.90146E+12,18.82255542,..,32.62238305
2022,YR2022,Russian Federation,RUS,1.47154E+12,20.71473821,..,38.77308981
2022,YR2022,India,IND,2.96152E+12,29.15929321,..,34.35653152
2022,YR2022,China,CHN,1.63251E+13,41.97277344,..,35.12561246
2022,YR2022,South Africa,ZAF,3.60707E+11,14.21040669,..,63.93477348
2023,YR2023,Brazil,BRA,..,..,..,..
2023,YR2023,Russian Federation,RUS,..,..,..,..
2023,YR2023,India,IND,..,..,..,..
2023,YR2023,China,CHN,..,..,..,..
2023,YR2023,South Africa,ZAF,..,..,..,..
